file,score,decision,reason
I:\Record_chunks\New recording 294_sent0085.wav,0.806404,TARGET,
I:\Record_chunks\Indigestion gastroesophageal reflex disease._sent0001.wav,0.806245,TARGET,
I:\Record_chunks\New recording 323_sent0034.wav,0.806225,TARGET,
I:\Record_chunks\New recording 386_sent0176.wav,0.806088,TARGET,
I:\Record_chunks\New recording 439_sent0078.wav,0.805787,TARGET,
I:\Record_chunks\New recording 150_sent0000.wav,0.805729,TARGET,
I:\Record_chunks\New recording 303_sent0125.wav,0.805573,TARGET,
I:\Record_chunks\New recording 44_sent0128.wav,0.805518,TARGET,
I:\Record_chunks\New recording 489_sent0121.wav,0.805433,TARGET,
I:\Record_chunks\New recording 134_sent0050.wav,0.805414,TARGET,
I:\Record_chunks\New recording 148_sent0085.wav,0.805029,TARGET,
I:\Record_chunks\New recording 45_sent0215.wav,0.804968,TARGET,
I:\Record_chunks\New recording 407_sent0138.wav,0.804906,TARGET,
I:\Record_chunks\New recording 444_sent0158.wav,0.804858,TARGET,
I:\Record_chunks\New recording 154_sent0115.wav,0.80457,TARGET,
I:\Record_chunks\New recording 450_sent0025.wav,0.804377,TARGET,
I:\Record_chunks\New recording 432_sent0157.wav,0.80397,TARGET,
I:\Record_chunks\New recording 38_sent0163.wav,0.803736,TARGET,
I:\Record_chunks\New recording 489_sent0123.wav,0.803446,TARGET,
I:\Record_chunks\ankylosing spondylitis_sent0129.wav,0.80344,TARGET,
I:\Record_chunks\New recording 441_sent0128.wav,0.803397,TARGET,
I:\Record_chunks\New recording 464_sent0001.wav,0.803259,TARGET,
I:\Record_chunks\New recording 32_sent0046.wav,0.802326,TARGET,
I:\Record_chunks\New recording 33_sent0139.wav,0.802235,TARGET,
I:\Record_chunks\New recording 226_sent0000.wav,0.802004,TARGET,
I:\Record_chunks\New recording 447_sent0027.wav,0.801921,TARGET,
I:\Record_chunks\New recording 432_sent0177.wav,0.801861,TARGET,
I:\Record_chunks\New recording 417_sent0209.wav,0.801613,TARGET,
I:\Record_chunks\New recording 454_sent0108.wav,0.80147,TARGET,
I:\Record_chunks\New recording 46_sent0142.wav,0.801414,TARGET,
I:\Record_chunks\New recording 232_sent0205.wav,0.801274,TARGET,
I:\Record_chunks\New recording 142_sent0154.wav,0.801274,TARGET,
I:\Record_chunks\New recording 460_sent0128.wav,0.801268,TARGET,
I:\Record_chunks\New recording 134_sent0096.wav,0.801263,TARGET,
I:\Record_chunks\New recording 334_sent0000.wav,0.801253,TARGET,
I:\Record_chunks\New recording 281_sent0034.wav,0.801132,TARGET,
I:\Record_chunks\New recording 35_sent0025.wav,0.799426,TARGET,
I:\Record_chunks\Generalized anxiety disorder_sent0101.wav,0.798926,TARGET,
I:\Record_chunks\New recording 471_sent0050.wav,0.798758,TARGET,
I:\Record_chunks\New recording 159_sent0108.wav,0.798699,TARGET,
I:\Record_chunks\New recording 271_sent0215.wav,0.798225,TARGET,
I:\Record_chunks\New recording 471_sent0090.wav,0.797946,TARGET,
I:\Record_chunks\New recording 113_sent0107.wav,0.797918,TARGET,
I:\Record_chunks\New recording 341_sent0053.wav,0.797906,TARGET,
I:\Record_chunks\New recording 42_sent0116.wav,0.797773,TARGET,
I:\Record_chunks\diabetic review learning disability_sent0002.wav,0.797665,TARGET,
I:\Record_chunks\New recording 126_sent0150.wav,0.797517,TARGET,
I:\Record_chunks\New recording 151_sent0142.wav,0.79745,TARGET,
I:\Record_chunks\New recording 417_sent0189.wav,0.797221,TARGET,
I:\Record_chunks\New recording 451_sent0067.wav,0.797116,TARGET,
I:\Record_chunks\New recording 249_sent0165.wav,0.797008,TARGET,
I:\Record_chunks\New recording 230_sent0153.wav,0.796366,TARGET,
I:\Record_chunks\New recording 308_sent0048.wav,0.796156,TARGET,
I:\Record_chunks\New recording 318_sent0120.wav,0.795975,TARGET,
I:\Record_chunks\New recording 463_sent0171.wav,0.795869,TARGET,
I:\Record_chunks\New recording 451_sent0217.wav,0.795794,TARGET,
I:\Record_chunks\New recording 417_sent0029.wav,0.795197,TARGET,
I:\Record_chunks\New recording 33_sent0038.wav,0.795154,TARGET,
I:\Record_chunks\New recording 478_sent0192.wav,0.795038,TARGET,
I:\Record_chunks\New recording 486_sent0179.wav,0.794696,TARGET,
I:\Record_chunks\New recording 241_sent0151.wav,0.794459,TARGET,
I:\Record_chunks\New recording 166_sent0135.wav,0.794456,TARGET,
I:\Record_chunks\New recording 439_sent0140.wav,0.794084,TARGET,
I:\Record_chunks\New recording 121_sent0003.wav,0.793558,TARGET,
I:\Record_chunks\New recording 454_sent0143.wav,0.79338,TARGET,
I:\Record_chunks\New recording 381_sent0114.wav,0.79331,TARGET,
I:\Record_chunks\New recording 455_sent0001.wav,0.79309,TARGET,
I:\Record_chunks\New recording 451_sent0041.wav,0.792709,TARGET,
I:\Record_chunks\New recording 303_sent0066.wav,0.792654,TARGET,
I:\Record_chunks\New recording 453_Trim1_sent0002.wav,0.79217,TARGET,
I:\Record_chunks\New recording 454_sent0151.wav,0.791957,TARGET,
I:\Record_chunks\New recording 33_sent0094.wav,0.791667,TARGET,
I:\Record_chunks\New recording 100_sent0000.wav,0.791602,TARGET,
I:\Record_chunks\New recording 417_sent0211.wav,0.791531,TARGET,
I:\Record_chunks\infected hernia_sent0035.wav,0.791518,TARGET,
I:\Record_chunks\New recording 478_sent0189.wav,0.791503,TARGET,
I:\Record_chunks\New recording 426_sent0142.wav,0.791126,TARGET,
I:\Record_chunks\New recording 428_sent0132.wav,0.790987,TARGET,
I:\Record_chunks\New recording 341_sent0207.wav,0.790747,TARGET,
I:\Record_chunks\New recording 38_sent0155.wav,0.790346,TARGET,
I:\Record_chunks\New recording 478_sent0217.wav,0.790155,TARGET,
I:\Record_chunks\New recording 166_sent0100.wav,0.789848,TARGET,
I:\Record_chunks\New recording 388_sent0107.wav,0.789672,TARGET,
I:\Record_chunks\New recording 128_sent0032.wav,0.789428,TARGET,
I:\Record_chunks\New recording 329_sent0102.wav,0.789377,TARGET,
I:\Record_chunks\New recording 461_sent0097.wav,0.789238,TARGET,
I:\Record_chunks\New recording 293_sent0038.wav,0.789126,TARGET,
I:\Record_chunks\General Anxiety Disorder_sent0102.wav,0.788927,TARGET,
I:\Record_chunks\New recording 166_sent0162.wav,0.788594,TARGET,
I:\Record_chunks\New recording 483_sent0097.wav,0.788577,TARGET,
I:\Record_chunks\New recording 112_sent0001.wav,0.788465,TARGET,
I:\Record_chunks\New recording 486_sent0172.wav,0.788188,TARGET,
I:\Record_chunks\New recording 13_sent0068.wav,0.78805,TARGET,
I:\Record_chunks\New recording 226_sent0115.wav,0.787916,TARGET,
I:\Record_chunks\New recording 294_sent0063.wav,0.787905,TARGET,
I:\Record_chunks\New recording 470_sent0045.wav,0.787777,TARGET,
I:\Record_chunks\Infective endocarditis._sent0120.wav,0.787118,TARGET,
I:\Record_chunks\New recording 415_sent0148.wav,0.787074,TARGET,
I:\Record_chunks\New recording 497_sent0061.wav,0.786651,TARGET,
I:\Record_chunks\New recording 451_sent0088.wav,0.786469,TARGET,
I:\Record_chunks\New recording 157_sent0046.wav,0.78641,TARGET,
I:\Record_chunks\New recording 411_sent0159.wav,0.786267,TARGET,
I:\Record_chunks\New recording 478_sent0034.wav,0.78617,TARGET,
I:\Record_chunks\citalopram induced hyponatremia_sent0066.wav,0.78615,TARGET,
I:\Record_chunks\New recording 470_sent0099.wav,0.786031,TARGET,
I:\Record_chunks\New recording 473_sent0061.wav,0.785973,TARGET,
I:\Record_chunks\New recording 445_sent0008.wav,0.785868,TARGET,
I:\Record_chunks\New recording 363_sent0200.wav,0.785842,TARGET,
