file,score,decision,reason
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0078.wav,0.556161,OTHER,
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0079.wav,0.668932,TARGET,
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0080.wav,,OTHER,too_short(1.03s)
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0081.wav,0.666435,TARGET,
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0082.wav,0.614311,OTHER,
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0083.wav,0.540621,OTHER,
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0084.wav,,OTHER,too_short(0.49s)
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0085.wav,0.522045,OTHER,
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0086.wav,0.139923,OTHER,
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0087.wav,,OTHER,too_short(0.62s)
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0088.wav,,OTHER,too_short(0.62s)
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0089.wav,0.497132,OTHER,
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0090.wav,0.377763,OTHER,
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0091.wav,-0.008406,OTHER,
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0092.wav,0.560744,OTHER,
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0093.wav,,OTHER,too_short(1.08s)
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0094.wav,,OTHER,too_short(0.46s)
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0095.wav,,OTHER,too_short(0.78s)
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0096.wav,,OTHER,too_short(1.56s)
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0097.wav,0.621887,OTHER,
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0098.wav,-0.006094,OTHER,
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0099.wav,0.010217,OTHER,
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0100.wav,0.277626,OTHER,
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0101.wav,0.044141,OTHER,
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0102.wav,,OTHER,too_short(0.70s)
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0103.wav,0.394371,OTHER,
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0104.wav,,OTHER,too_short(1.98s)
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0105.wav,,OTHER,too_short(1.08s)
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0106.wav,,OTHER,too_short(1.46s)
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0107.wav,0.604400,OTHER,
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0108.wav,,OTHER,too_short(1.46s)
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0109.wav,,OTHER,too_short(0.56s)
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0110.wav,0.057007,OTHER,
